Date,Forecast
2021-07-04,6.7538176
2021-07-11,11.110979
2021-07-18,7.7033606
2021-07-25,12.949045
2021-08-01,5.509861
2021-08-08,14.111092
2021-08-15,5.8441677
2021-08-22,17.825027
2021-08-29,11.033206
2021-09-05,16.067793
2021-09-12,5.035894
2021-09-19,1.7020396
2021-09-26,-0.703559
2021-10-03,-0.4463289
2021-10-10,-0.8550573
2021-10-17,0.4921082
2021-10-24,0.30997267
2021-10-31,2.0059774
2021-11-07,3.3739855
2021-11-14,4.987676
2021-11-21,10.571447
2021-11-28,13.34819
2021-12-05,10.378309
2021-12-12,14.174588
2021-12-19,7.9245753
2021-12-26,15.119053
2022-01-02,5.286868
2022-01-09,14.188857
2022-01-16,5.6764383
2022-01-23,12.969072
2022-01-30,5.4108763
2022-02-06,14.528695
2022-02-13,6.004144
2022-02-20,18.96566
2022-02-27,12.084661
2022-03-06,5.16773
2022-03-13,16.731594
2022-03-20,1.03159
2022-03-27,0.07436993
2022-04-03,0.12274864
2022-04-10,0.49687758
2022-04-17,-0.36867225
2022-04-24,0.18378767
2022-05-01,1.6532217
2022-05-08,2.041239
2022-05-15,3.9975283
2022-05-22,10.334179
2022-05-29,15.395362
2022-06-05,12.472682
2022-06-12,7.99383
2022-06-19,15.08757
2022-06-26,3.692941
2022-07-03,1.2442101
2022-07-10,0.002206155
2022-07-17,-0.43892708
2022-07-24,-0.4084544
2022-07-31,0.2610136
2022-08-07,-0.041353114
2022-08-14,0.4815555
2022-08-21,2.0834165
2022-08-28,4.0291533
2022-09-04,12.916107
2022-09-11,44.16221
2022-09-18,29.101189
2022-09-25,9.016975
2022-10-02,13.959921
2022-10-09,1.1392671
2022-10-16,0.04083182
2022-10-23,-0.41010007
2022-10-30,0.07711119
2022-11-06,-0.7677444
2022-11-13,-0.19915807
2022-11-20,0.3006924
2022-11-27,2.0059774
2022-12-04,4.0291533
2022-12-11,12.903117
2022-12-18,44.308693
2022-12-25,29.95018
